id,title,city,text,source
doc_hoian_01,Phố Cổ Hội An,Hội An,"Phố cổ Hội An là di sản văn hóa thế giới UNESCO với kiến trúc đặc trưng từ thế kỷ 16-18. Khu phố nổi bật với những ngôi nhà mái ngói rêu phong, con đường đèn lồng đầy màu sắc và Chùa Cầu Nhật Bản - biểu tượng của phố cổ. Du khách có thể tham quan các hội quán Trung Hoa, xưởng thủ công mỹ nghệ và thưởng thức các món ăn đặc sản như Cao Lầu, Mì Quảng.",Hoi An Tourism
doc_halong_02,Vịnh Hạ Long,Quảng Ninh,"Vịnh Hạ Long được UNESCO công nhận là di sản thiên nhiên thế giới với hơn 1.600 hòn đảo đá vôi kỳ vĩ. Du khách có thể tham gia các tour du thuyền qua hang Sửng Sốt, hang Đầu Gỗ, đảo Titop và làng chài Cửa Vạn. Hoạt động phổ biến bao gồm chèo kayak khám phá hang động, bơi lội tại các bãi biển hoang sơ và ngắm bình minh, hoàng hôn trên vịnh.",Halong Tourism
doc_hue_03,Đại Nội Huế,Thừa Thiên Huế,"Đại Nội Huế là quần thể di tích cố đô triều Nguyễn, được UNESCO công nhận là di sản văn hóa thế giới. Khuôn viên rộng 520ha bao gồm Hoàng Thành, Tử Cấm Thành với hơn 100 công trình kiến trúc cung điện, đền đài, lăng tẩm. Đặc biệt nhất là Ngọ Môn, điện Thái Hòa và các lăng tẩm của vua Gia Long, Minh Mạng, Tự Đức.",Hue Tourism
doc_danang_04,Cầu Rồng,Đà Nẵng,"Cầu Rồng là cây cầu độc đáo bắc qua sông Hàn, được thiết kế hình con rồng uốn lượn dài 666m. Vào các ngày cuối tuần và dịp lễ, cầu có màn trình diễn phun lửa và phun nước đầy ấn tượng lúc 21h. Cầu không chỉ là biểu tượng kiến trúc hiện đại mà còn là điểm ngắm toàn cảnh thành phố Đà Nẵng về đêm.",Danang Tourism
doc_sapa_05,Thị Trấn Sapa,Lào Cai,"Sapa là thị trấn nghỉ mát nổi tiếng ở độ cao 1.600m so với mực nước biển, được người Pháp phát hiện từ năm 1903. Nơi đây có khí hậu ôn đới mát mẻ quanh năm, là điểm xuất phát để khám phá đỉnh Fansipan - nóc nhà Đông Dương, thung lũng Mường Hoa với bãi đá cổ và các bản làng dân tộc H'Mông, Dao Đỏ.",Sapa Tourism
doc_hanoi_06,Hồ Hoàn Kiếm,Hà Nội,"Hồ Hoàn Kiếm hay hồ Gươm là trái tim của thủ đô Hà Nội, gắn liền với truyền thuyết vua Lê Lợi trả gươm thần cho Rùa Vàng. Quanh hồ có quần thể di tích gồm Tháp Rùa, đền Ngọc Sơn, cầu Thê Húc màu đỏ son và tháp Bút - đài Nghiên. Buổi sáng sớm, người dân tập thể dục quanh hồ tạo không khí nhộn nhịp đặc trưng.",Hanoi Tourism
doc_hanoi_07,Văn Miếu Quốc Tử Giám,Hà Nội,"Văn Miếu - Quốc Tử Giám được xây dựng năm 1070 dưới thời vua Lý Thánh Tông, là trường đại học đầu tiên của Việt Nam. Khu di tích rộng 54.000m² gồm 5 khu vực chính với các công trình kiến trúc cổ như Khuê Văn Các, giếng Thiên Quang, và 82 tấm bia Tiến sĩ được UNESCO công nhận là Di sản tư liệu thế giới.",Hanoi Tourism
doc_danang_05,Bà Nà Hills,Đà Nẵng,"Bà Nà Hills là khu nghỉ dưỡng trên núi ở độ cao 1.487m, được mệnh danh là 'Đà Lạt của miền Trung'. Nơi đây sở hữu hệ thống cáp treo giữ nhiều kỷ lục thế giới, làng Pháp cổ với các kiến trúc châu Âu nguyên bản, cầu Vàng được thiết kế như đôi bàn tay của thần núi nâng đỡ và vườn hoa Le Jardin D'Amour rộng 21.000m².",Danang Tourism
doc_nhatrang_01,Vịnh Nha Trang,Khánh Hòa,"Vịnh Nha Trang được công nhận là một trong 29 vịnh đẹp nhất thế giới với đường bờ biển dài 7km. Du khách có thể tham quan các đảo nổi tiếng như Hòn Tằm, Hòn Mun - nơi có rạn san hô đa dạng bậc nhất Việt Nam, và Vinpearl Land - thiên đường giải trí hiện đại. Các hoạt động không thể bỏ qua gồm lặn biển ngắm san hô, tắm bùn kho nóng và thưởng thức hải sản tươi sống.",Nha Trang Tourism
doc_phongnha_01,Động Phong Nha,Quảng Bình,"Động Phong Nha là di sản thiên nhiên thế giới nằm trong Vườn quốc gia Phong Nha - Kẻ Bàng. Hệ thống hang động kỳ vĩ bao gồm động khô và động nước với chiều dài lên đến 7.729m. Du khách sẽ được ngồi thuyền khám phá dòng sông ngầm trong lòng núi, chiêm ngưỡng những khối thạch nhũ đa dạng hình thù và tìm hiểu hệ sinh thái độc đáo của hang động.",Phong Nha Tourism
